,Length,Angle,angle2,maxval,rescaled,conversion,snowdepth_ft
2022-10-25 14:35:29,330.6055050963308,-86.53177074108285,93.46822925891715,334.2932844075693,,,
2022-10-25 14:36:08,332.18217893198306,91.89765994904398,91.89765994904398,334.2932844075693,,,
2022-10-25 14:37:19,330.12270446002344,-88.4377750831576,91.5622249168424,334.2932844075693,,,
2022-10-25 17:37:19,324.3023280829171,92.47420446817046,92.47420446817046,334.2932844075693,,,
2022-10-26 07:00:00,330.18328243568,-88.09084756700362,91.90915243299638,334.2932844075693,334.2932844075693,0.017948311497292358,0.0737675956459548
2022-10-26 10:00:00,328.219438790575,92.09525256462383,92.09525256462383,334.2932844075693,334.2932844075693,0.017948311497292358,0.10901527312027717
2022-10-26 13:00:00,332.150568266863,-88.27474512452736,91.72525487547264,334.2932844075693,334.2932844075693,0.017948311497292358,0.03845813674367251
2022-10-26 16:00:01,330.25596133908016,92.25593996365993,92.25593996365993,334.2932844075693,334.2932844075693,0.017948311497292358,0.07246313204844686
2022-10-27 07:00:01,330.18328243568,-88.09084756700362,91.90915243299638,334.2932844075693,334.2932844075693,0.017948311497292358,0.0737675956459548
2022-10-27 10:00:01,332.4349560440358,92.93125996780464,92.93125996780464,334.2932844075693,334.2932844075693,0.017948311497292358,0.03335385633295234
2022-10-27 13:00:00,326.2590994899606,-87.71640891843295,92.28359108156705,334.2932844075693,334.2932844075693,0.017948311497292358,0.1442000535280888
2022-10-27 16:00:00,330.18328243568,91.90915243299638,91.90915243299638,334.2932844075693,334.2932844075693,0.017948311497292358,0.0737675956459548
2022-10-28 07:00:00,330.21810973960834,-87.91743472026913,92.08256527973087,334.2932844075693,334.2932844075693,0.017948311497292358,0.07314250434643785
2022-10-28 10:00:00,327.1849629796577,91.92665445246416,91.92665445246416,334.2932844075693,334.2932844075693,0.017948311497292358,0.12758236721103472
2022-10-28 13:00:00,333.253657144224,-87.7643631038537,92.2356368961463,334.2932844075693,334.2932844075693,0.017948311497292358,0.018659553963598443
2022-10-28 16:00:01,328.4402533186211,92.96694355532266,92.96694355532266,334.2932844075693,334.2932844075693,0.017948311497292358,0.10505202518777806
2022-10-29 07:00:01,326.3004750226392,-87.54095600989538,92.45904399010462,334.2932844075693,334.2932844075693,0.017948311497292358,0.14345743257920662
2022-10-29 10:00:01,325.3459696999488,92.64254529406472,92.64254529406472,334.2932844075693,334.2932844075693,0.017948311497292358,0.16058919143667763
2022-10-29 13:00:00,328.219438790575,-87.90474743537615,92.09525256462385,334.2932844075693,334.2932844075693,0.017948311497292358,0.10901527312027717
2022-10-29 16:00:00,330.38765110094533,92.77580344878314,92.77580344878314,334.2932844075693,334.2932844075693,0.017948311497292358,0.07009952318148643
2022-10-30 07:00:00,330.2968361943541,-87.57072667650003,92.42927332349997,334.2932844075693,334.2932844075693,0.017948311497292358,0.07172949741358316
2022-10-30 10:00:00,332.29504961705345,92.4146565208508,92.4146565208508,334.2932844075693,334.2932844075693,0.017948311497292358,0.035864940464904745
2022-10-30 13:00:01,325.3013987058771,-87.53339905147462,92.46660094852538,334.2932844075693,334.2932844075693,0.017948311497292358,0.16138916552202057
2022-10-30 16:00:01,327.4415978460892,92.97600049189442,92.97600049189442,334.2932844075693,334.2932844075693,0.017948311497292358,0.12297620468725594
2022-10-31 07:00:01,328.3428086619228,-87.38159053486653,92.61840946513347,334.2932844075693,334.2932844075693,0.017948311497292358,0.10680099223994614
2022-10-31 10:00:01,329.29773761749414,92.43664824681014,92.43664824681014,334.2932844075693,334.2932844075693,0.017948311497292358,0.08966162988756754
2022-10-31 13:00:00,333.4336515710434,-87.07752733197509,92.92247266802491,334.2932844075693,334.2932844075693,0.017948311497292358,0.01542895792326716
2022-10-31 16:00:00,334.2932844075693,92.40021446085665,92.40021446085665,334.2932844075693,334.2932844075693,0.017948311497292358,0.0
2022-11-01 07:00:00,331.3397048347813,-87.40528976120505,92.59471023879495,334.2932844075693,334.2932844075693,0.017948311497292358,0.05301176620443848
2022-11-01 10:00:00,330.38765110094533,92.77580344878314,92.77580344878314,334.2932844075693,334.2932844075693,0.017948311497292358,0.07009952318148643
2022-11-01 13:00:01,330.2968361943541,-87.57072667650003,92.42927332349997,334.2932844075693,334.2932844075693,0.017948311497292358,0.07172949741358316
2022-11-01 16:00:01,305.2769234645816,92.4406379257615,92.4406379257615,334.2932844075693,334.2932844075693,0.017948311497292358,0.5207946847226104
2022-11-02 07:00:01,301.16606714568627,-88.09718559568498,91.90281440431502,334.2932844075693,334.2932844075693,0.017948311497292358,0.5945776144547565
2022-11-02 10:00:00,300.2815345638156,92.48126480119583,92.48126480119583,334.2932844075693,334.2932844075693,0.017948311497292358,0.6104534807636751
2022-11-02 13:00:00,298.1677380267691,-88.07804404106858,91.92195595893142,334.2932844075693,334.2932844075693,0.017948311497292358,0.6483925594524843
2022-11-02 16:00:00,299.202272718641,92.10692129068816,92.10692129068816,334.2932844075693,334.2932844075693,0.017948311497292358,0.6298244085480121
2022-11-03 07:00:00,299.2824752637548,-87.51044707800085,92.48955292199915,334.2932844075693,334.2932844075693,0.017948311497292358,0.6283849082854337
2022-11-03 10:00:01,304.19894805866767,92.0722984456191,92.0722984456191,334.2932844075693,334.2932844075693,0.017948311497292358,0.540142523094374
2022-11-03 13:00:01,304.16442921551493,-88.11594976890821,91.88405023109179,334.2932844075693,334.2932844075693,0.017948311497292358,0.5407620780438056
2022-11-03 16:00:00,302.2002647252315,92.08601019191488,92.08601019191488,334.2932844075693,334.2932844075693,0.017948311497292358,0.5760155141473334
